文本编号,句子长度-DESSL（06）,年级,短语长度-PhraseLength,短语密度-PhraseDensity,句子结构-SentenceStructure,句法相似-SYNSTRUT
7.txt,10.89999962,2,2.4334999025000004,216.21599576666668,6.005999883333334,0.16850000650000002
70.txt,14.81799984,2,2.4979998764999998,216.76866913333333,4.090000153333333,0.1160000005
71.txt,11.05900002,2,1.1994999945,229.94667433666666,14.260332743333331,0.1669999955
72.txt,10.2670002,2,1.766500056,222.943662,12.987333776,0.18
73.txt,9.850000381,2,1.534500003,250.00000510000004,5.10199992,0.158500001
75.txt,9.111000061,2,2.1055000125,216.7690048333333,14.315000536333335,0.1939999985
76.txt,17.61499977,2,1.612500042,221.25166575666665,13.100666998666666,0.0650000015
77.txt,10.83300018,2,1.509499997,212.82033537333334,7.692333219999999,0.1845000015
78.txt,14.875,2,3.2190000115,192.0903269733333,5.650000253999999,0.0830000005
79.txt,14.66699982,2,2.171999991,200.75766246999999,5.68200016,0.129499994
8.txt,11.92300034,2,1.818999976,221.50533294666664,10.752666473333335,0.12249999850000001
80.txt,14.18200016,2,2.467500001,220.80666605666667,2.122999986,0.173499994
81.txt,12.25,2,2.239499986,218.57932788666668,8.196666876666667,0.153000005
82.txt,14.83300018,2,1.5450000165,226.59200284333338,11.23600006,0.085499998
83.txt,9.550000191,2,1.6339999735,244.32832843666665,10.471333186999999,0.156000003
84.txt,13.66699982,2,1.8819999695,215.44733430333335,6.097666579999999,0.157499999
87.txt,18.14299965,2,2.279500008,231.88400013333333,15.810667039333334,0.087000001
89.txt,13.52900028,2,2.2519999740000003,231.88399503333335,2.8986666999999997,0.12800000250000002
9.txt,13.30000019,2,2.785999894,225.5639979,10.024999937666665,0.19300000350000002
90.txt,13.47099972,2,1.8905000685,203.78433737666668,2.911333402,0.1144999975
92.txt,18.41699982,2,2.3235000075,209.65299862000003,9.049666723333333,0.08799999950000001
93.txt,17.33300018,2,2.181999952,238.4613266,14.102332989333334,0.0955
94.txt,15.625,2,3.7044999895,233.73199969999996,13.28000005,0.12149999650000001
95.txt,17.69199944,2,3.406000108,227.53633116666666,13.043333529999998,0.1165000015
96.txt,13.0,2,3.1755000355000003,230.7693303333334,2.849333445333333,0.153499998
97.txt,18.93300056,2,2.5500001015000002,222.6109975333333,15.151666640333334,0.06949999949999999
1.txt,20.0,3,3.86800006,209.37999726,13.400666553333332,0.0665000005
10.txt,10.66699982,3,2.1824999455,221.64066061333332,13.96133296,0.163500004
100.txt,13.55599976,3,2.7414998710000003,225.4096679666667,15.027333103333333,0.11900000250000001
11.txt,13.0,3,2.9199999275,198.0389963766667,0.0,0.1604999975
12.txt,16.58300018,3,1.621500015,223.35033162,8.460000358,0.09850000249999999
13.txt,10.88899994,3,1.7595000564999999,216.49500023333334,10.309333326666666,0.159999996
14.txt,11.93299961,3,2.1899999675,218.51833091333336,20.37066666433333,0.1115000025
15.txt,15.25,3,2.2289999725,222.82567089,3.623333296666667,0.1105
16.txt,16.0,3,2.211000025,219.89533233333336,10.471333186666667,0.1279999985
17.txt,17.0909996,3,2.382000029,226.38133496666669,10.694999693333335,0.0909999985
19.txt,15.18200016,3,1.717500001,226.90766653333333,12.048000333333334,0.0764999985
2.txt,15.61499977,3,2.7689999345,239.27400463333333,4.950333277333333,0.124499995
20.txt,16.46199989,3,2.6180000605,234.7416687,10.954666934,0.0975
21.txt,17.85700035,3,2.4405000505,218.66666666666666,6.666666666666667,0.08650000050000001
22.txt,17.29999924,3,2.9255000055,226.74400333333332,13.565999986666668,0.0845
23.txt,16.7859993,3,2.1499999460000003,227.4680023233333,10.014666556,0.1039999985
24.txt,12.33300018,3,3.0680000780000003,236.03599803333336,5.40500021,0.1465000065
25.txt,16.54500008,3,2.7635001245,227.77766421333334,11.11100006,0.12950000150000002
26.txt,14.53299999,3,2.1384999455,215.50400032333332,7.751999854333334,0.118499998
27.txt,15.30000019,3,2.2650000450000003,228.75800068666663,10.893332958333332,0.1085000005
28.txt,17.22200012,3,2.0769999625,204.30099997333332,12.902999880000001,0.0634999985
3.txt,17.58300018,3,3.1834999025,209.52366382000002,11.111333528666668,0.10350000100000001
30.txt,14.14299965,3,2.2214999795,216.58200072999998,11.844333648000001,0.11399999999999999
31.txt,15.81799984,3,2.423999965,202.31200153666668,5.78000021,0.120500002
32.txt,16.69199944,3,1.8689999579999999,223.7653350666666,20.06199964,0.1094999985
33.txt,15.72700024,3,2.151499957,199.61233772666665,13.565999983333333,0.1085000005
34.txt,16.91699982,3,1.9855000375,196.36967215333334,8.250666617666667,0.07099999900000001
35.txt,17.5,3,3.3875000775,219.04766336666663,9.524000169333334,0.0955
37.txt,14.76900005,3,2.010500014,215.27766166,3.4720001220000003,0.15150000149999998
38.txt,18.0,3,2.7380000950000003,214.5063349333333,7.716333071333334,0.0955
39.txt,16.0,3,2.830000013,228.57133227999998,13.333333333333334,0.10199999800000001
4.txt,13.7329998,3,2.24150002,209.15066403666665,16.340000153333335,0.12249999850000001
41.txt,15.06700039,3,2.193499982,222.72033179666664,17.937000273333332,0.118999999
42.txt,11.22200012,3,2.4429998994999997,222.77199556666665,4.950333277333333,0.19349999699999998
43.txt,13.68400002,3,2.460999995,237.72599793333333,15.504000028333332,0.1215
44.txt,16.84600067,3,3.585999936,235.47400156666666,12.232333499666666,0.1149999985
45.txt,15.0710001,3,2.8760000764999996,243.28566996666666,9.478666781333333,0.16099999850000002
46.txt,16.14299965,3,1.8449999990000001,196.42867021666666,13.39299965,0.09449999749999999
47.txt,16.25,3,2.3939999044999998,223.95833079333332,8.680666607666666,0.09950000049999999
48.txt,16.29999924,3,1.9764999744999998,220.85900117666665,10.225000382666666,0.105999999
49.txt,13.5,3,1.3924999835,247.26132708666668,17.214667004333332,0.120500002
5.txt,13.25,3,3.140000105,212.26433313333334,3.1446666716666667,0.1414999965
50.txt,14.14299965,3,2.7499999405000004,220.53899892,13.467999773333332,0.14700000000000002
