文本编号,年级,局部连贯-LocalCoherence,整体连贯-GlobalCoherence
5.txt,2,0.20533333466666667,-0.33051268509356696
50.txt,2,0.247333328,-0.06069634025761117
52.txt,2,0.29266666866666663,0.062029256839422175
54.txt,2,0.3376666656666667,0.01790178911605078
55.txt,2,0.23633332566666665,-0.05640716393062617
56.txt,2,0.28133333233333335,-0.08578299563201663
57.txt,2,0.335333335,-0.18866862878663387
58.txt,2,0.283999992,-0.04252290033849726
59.txt,2,0.31099999933333333,-0.01786441766981972
6.txt,2,0.196000005,-0.32916826292795537
61.txt,2,0.3589999973333333,-0.1301948468813472
62.txt,2,0.403000002,-0.08865207881904436
63.txt,2,0.32533333233333334,0.050742489982437244
64.txt,2,0.22700000299999998,-0.09865837813431655
65.txt,2,0.15766666833333334,-0.21046310056511214
67.txt,2,0.39266666766666664,0.1506055685144827
68.txt,2,0.24133332833333332,-0.021989077825616987
69.txt,2,0.46299999966666666,0.44521228448048966
7.txt,2,0.289666665,0.011359304833641004
70.txt,2,0.41733332466666667,0.3378916038016003
71.txt,2,0.4370000063333333,0.18268196085801658
72.txt,2,0.12699999766666667,-0.2762715628571131
73.txt,2,0.283000007,-0.14528577831782885
74.txt,2,0.18633332866666666,-0.0694122322555375
75.txt,2,0.178999995,-0.38692258706245714
76.txt,2,0.41399999933333337,0.2639356896000975
77.txt,2,0.26766666533333333,0.18331246461405837
78.txt,2,0.3833333353333333,-0.019542285028952056
79.txt,2,0.3493333263333333,0.05854058005417462
8.txt,2,0.297333335,0.10180607681547849
80.txt,2,0.27700000733333335,0.11810889375502576
81.txt,2,0.16266666866666665,-0.1396282656918899
82.txt,2,0.272666658,0.007337418571341181
83.txt,2,0.23333333166666667,-0.14760462619196257
84.txt,2,0.2966666643333334,0.04615650780274638
85.txt,2,0.22800000033333334,0.11284201424281926
86.txt,2,0.20766666533333333,0.15847798219113995
87.txt,2,0.2679999966666667,0.00342279146151947
88.txt,2,0.22000000133333333,-0.2379349061691699
89.txt,2,0.16866666833333332,-0.2398440199811941
9.txt,2,0.378666669,0.23907856374588388
90.txt,2,0.14533333366666668,-0.21946364896448373
91.txt,2,0.273666665,0.13649745346416275
92.txt,2,0.31733333566666666,-0.10298219340292647
93.txt,2,0.29133333033333336,0.21248722850389545
94.txt,2,0.256333331,-0.06682405287393112
95.txt,2,0.38066666833333335,0.057026379951349626
96.txt,2,0.2949999993333333,-0.016016032991882034
97.txt,2,0.3239999986666667,0.166822455287841
1.txt,3,0.363666666,0.3718156240507232
10.txt,3,0.15766666699999998,-0.1769473766132732
100.txt,3,0.20500000066666668,-0.15775571886283957
11.txt,3,0.336666666,0.10233549564074429
12.txt,3,0.399666667,0.2206668471163139
13.txt,3,0.19933333,-0.06427678734145537
14.txt,3,0.2383333346666667,0.059982237586136966
15.txt,3,0.40866666766666665,0.3463510195904128
16.txt,3,0.27333333833333334,0.18289841099736048
17.txt,3,0.352999995,0.27310926984035344
22.txt,3,0.228333334,0.12009160876912206
23.txt,3,0.252666667,-0.12501729374660664
24.txt,3,0.3326666706666667,0.12827912135679143
25.txt,3,0.38599999466666673,0.32453624899759825
26.txt,3,0.276333337,0.1382519941360273
27.txt,3,0.16833333533333336,0.045129605465698885
28.txt,3,0.4329999983333333,0.30231990004887577
3.txt,3,0.30866666633333334,0.21919208697596249
30.txt,3,0.22533332966666667,-0.11589850792928669
33.txt,3,0.18466666933333334,-0.11002574834044498
34.txt,3,0.2920000056666667,0.049439744910605876
35.txt,3,0.232000003,-0.1644524152546103
36.txt,3,0.23333332900000003,-0.09749391840060928
37.txt,3,0.3076666646666667,-0.11613425605340655
38.txt,3,0.38966667166666663,0.14667460257134324
39.txt,3,0.21233333366666665,-0.0219684455507414
41.txt,3,0.35399999733333337,-0.023462562522339137
42.txt,3,0.2723333273333333,-0.09688672451985958
43.txt,3,0.3976666633333334,0.3411527568006171
44.txt,3,0.31633333133333336,0.18230432903847138
45.txt,3,0.3629999906666667,0.07993501544572745
46.txt,3,0.35733333233333325,0.22355208950099859
47.txt,3,0.277,0.08875131112944934
48.txt,3,0.331666666,0.05763401078342789
49.txt,3,0.3386666676666667,0.2560654566239695
5.txt,3,0.22266667066666668,-0.19018402887746372
50.txt,3,0.227000003,-0.16680118606637534
51.txt,3,0.271666671,0.10265260116208197
52.txt,3,0.28633334233333335,-0.030035990342698993
53.txt,3,0.25200000933333333,0.031018819596128178
54.txt,3,0.163999997,-0.03951082399716899
55.txt,3,0.24899999566666667,-0.02402183514205536
56.txt,3,0.29999999466666666,-0.08794938033995858
57.txt,3,0.4153333356666667,0.045273361078394414
58.txt,3,0.29766666633333333,0.16404701815361822
59.txt,3,0.153666669,-0.09456664066144116
6.txt,3,0.22866666566666669,-0.18563677005900997
60.txt,3,0.36533333366666665,0.036878610536723144
61.txt,3,0.25566666833333335,0.10513509730297799
63.txt,3,0.313666669,0.15019510578279993
64.txt,3,0.208333336,-0.08068085584798335
65.txt,3,0.23766667033333336,-0.17599521470699192
66.txt,3,0.142000003,-0.23325025240701336
68.txt,3,0.31999999533333334,0.0978518921638386
69.txt,3,0.26833333600000003,0.11201549734728511
7.txt,3,0.350666667,0.25611360274213
70.txt,3,0.23166665933333333,0.013300241585371908
71.txt,3,0.35166666399999996,0.13725542168955795
72.txt,3,0.227333331,-0.07581461123452293
74.txt,3,0.3153333316666667,0.17452800072357944
75.txt,3,0.27366666,-0.08721429440468831
76.txt,3,0.28366665799999996,0.13326408149256996
79.txt,3,0.30433333933333334,-0.024192627445418058
80.txt,3,0.25200000166666664,0.10128646900667881
81.txt,3,0.45233333633333334,0.12058582428889231
82.txt,3,0.2946666703333333,-0.13779216668593997
83.txt,3,0.22833334166666666,0.07442977615100532
84.txt,3,0.32466665899999997,0.08481301241628081
85.txt,3,0.23333333433333334,-0.20435240281315237
86.txt,3,0.3703333386666667,0.29537741853259203
87.txt,3,0.148333331,-0.24369458714159392
88.txt,3,0.25933333733333336,-0.22599610571293327
89.txt,3,0.22299999966666664,-0.01675043080663685
9.txt,3,0.22900000233333337,-0.022542037126782155
92.txt,3,0.3303333296666667,-0.04682417465443878
93.txt,3,0.20400000366666668,-0.0907657456272064
94.txt,3,0.20533333733333334,-0.12898201549261912
95.txt,3,0.266000003,0.14408435459945546
96.txt,3,0.34600000066666664,0.1774293561122008
97.txt,3,0.42966667333333336,0.19236983510480943
98.txt,3,0.11733333266666666,-0.2351255655467545
99.txt,3,0.3803333393333334,0.2563993184811223
