文本编号,多样性-LDVOCDa（51）,密度-WRDFRQC（94）,年级,复杂度-K
20.txt,98.96499634,2.167999983,2,-1.1714567049351245
22.txt,80.32099915,2.219000101,2,-3.9328401179319314
23.txt,89.27400208,2.313999891,2,-0.5216672815553665
25.txt,87.00900269,2.269000053,2,3.24674204564613
26.txt,87.15599823,2.161999941,2,-2.9314105104163986
27.txt,75.17099762,2.467999935,2,3.8663181173365615
29.txt,85.50499725,2.187000036,2,-3.2138660111116906
3.txt,78.28299713,2.259000063,2,-0.4289135277363698
31.txt,49.51499939,2.463000059,2,5.505129252762828
32.txt,85.20800018,2.069000006,2,-10.411282439852492
33.txt,72.4469986,2.183000088,2,-1.7257044787703677
34.txt,54.71099854,2.40199995,2,5.86960049664485
35.txt,96.27200317,2.496000051,2,6.446240941142747
36.txt,75.10800171,2.230999947,2,0.5605412656073412
37.txt,52.80599976,2.204999924,2,4.241764891629515
39.txt,76.86799622,2.049000025,2,-2.1410810920437484
4.txt,72.92900085,2.351999998,2,2.3763347204371996
40.txt,72.33300018,2.003999949,2,-1.1328520425570758
41.txt,87.14700317,2.187000036,2,1.2710064733333297
42.txt,79.70600128,2.236000061,2,-4.560885550570234
43.txt,77.85500336,2.190999985,2,-2.7584723466748784
44.txt,102.3430023,2.33100009,2,4.663681966770042
45.txt,68.36000061,2.512000084,2,6.7911373758943085
46.txt,72.27200317,2.684000015,2,4.3338011471050635
47.txt,90.22399902,2.336999893,2,-1.0206829048080976
48.txt,99.07800293,2.299999952,2,-0.5359405555691552
49.txt,101.2099991,2.121000051,2,-5.867121857514249
50.txt,84.21600342,2.276000023,2,-2.4328233067992073
52.txt,111.1220016,2.270999908,2,-2.61101439408759
53.txt,79.59300232,2.197999954,2,1.5891006568299275
54.txt,91.35700226,2.072999954,2,-0.8468203019690037
55.txt,102.0830002,2.351000071,2,2.330605363011486
56.txt,118.5780029,2.11500001,2,-4.629001109234366
57.txt,81.41600037,2.302999973,2,-2.8756613553798474
58.txt,48.20000076,2.273000002,2,2.096980893143254
59.txt,80.43099976,2.306999922,2,0.4830936111048345
6.txt,109.2600021,2.346999884,2,2.779505484405149
60.txt,74.69000244,2.213999987,2,-1.4426590817862461
61.txt,69.23999786,2.305000067,2,1.5753801226163375
62.txt,89.74199677,2.325999975,2,3.5807848459768508
63.txt,77.66699982,2.35800004,2,0.7910532944680284
64.txt,88.59600067,2.335000038,2,3.8286554848569523
66.txt,76.91600037,2.447000027,2,0.3998479655002569
68.txt,68.59999847,2.438999891,2,4.734426624795773
69.txt,80.43699646,2.40899992,2,1.424923322544558
7.txt,93.81800079,2.355000019,2,0.18271219794260674
70.txt,73.67700195,2.177000046,2,-0.7170644388528729
71.txt,63.42200089,2.450999975,2,3.640654441776917
72.txt,79.6210022,2.375,2,5.04452281528647
73.txt,87.0019989,2.321000099,2,3.663259004344482
74.txt,85.9240036,2.40199995,2,0.4906849765647934
76.txt,91.23600006,2.069000006,2,-5.661469453525456
77.txt,62.84700012,2.305999994,2,0.8248002695087138
78.txt,105.5950012,2.414999962,2,3.3344157071523313
79.txt,95.18099976,2.280999899,2,-0.739188702284622
8.txt,64.17299652,2.348999977,2,4.974957048914661
80.txt,79.15699768,2.131000042,2,-0.9511652864852351
81.txt,96.09400177,2.280999899,2,3.141870435007661
82.txt,74.06400299,2.424000025,2,1.1528522137523254
83.txt,75.53900146,2.329999924,2,4.958983931248326
