文本编号,局部连贯-CRFAO1（29）,局部连贯-CRFSO1（30）,局部连贯-LSASS1(40),整体连贯-CRFAOa（32）,整体连贯-CRFSOa（33）,整体连贯-LSASSp（42）,整体连贯-LSAPP1（44）,整体连贯-LSAGN（46）,年级
75.txt,0.437999994,0.063000001,0.097000003,0.374000013,0.052000001,0.101999998,0.214000002,0.263000011,1
76.txt,0.786000013,0.214000002,0.089000002,0.716000021,0.179000005,0.158999994,0.382999986,0.305000007,1
77.txt,1.0,0.153999999,0.098999999,0.800000012,0.141000003,0.123999998,0.460000008,0.259000003,1
78.txt,0.528999984,0.118000001,0.085000001,0.512000024,0.143999994,0.112000003,0.442999989,0.275999993,1
79.txt,0.583000004,0.166999996,0.134000003,0.546999991,0.147,0.136000007,0.524999976,0.284999996,1
8.txt,0.786000013,0.143000007,0.098999999,0.674000025,0.104999997,0.086000003,0.301999986,0.231999993,1
80.txt,0.5,0.125,0.150000006,0.527999997,0.305999994,0.191,0.451999992,0.289999992,1
81.txt,0.5,0.071000002,0.090000004,0.526000023,0.083999999,0.075000003,0.386999995,0.268999994,1
82.txt,0.588,0.175999999,0.134000003,0.416000009,0.079999998,0.092,0.437999994,0.256999999,1
83.txt,0.786000013,0.143000007,0.131999999,0.632000029,0.136999995,0.133000001,0.293000013,0.277999997,1
84.txt,0.42899999,0.143000007,0.103,0.411000013,0.115999997,0.101999998,0.423999995,0.273000002,1
85.txt,0.591000021,0.181999996,0.123999998,0.593999982,0.153999999,0.104000002,0.550999999,0.286000013,1
86.txt,0.625,0.063000001,0.082999997,0.609000027,0.035,0.086000003,0.388000011,0.256000012,1
87.txt,0.588,0.059,0.100000001,0.519999981,0.056000002,0.115000002,0.456999987,0.259000003,1
88.txt,0.888999999,0.0,0.128000006,0.911000013,0.133000001,0.162,0.347000003,0.256999999,1
89.txt,0.57099998,0.071000002,0.131999999,0.632000029,0.083999999,0.127000004,0.629999995,0.296999991,1
9.txt,0.61500001,0.153999999,0.115999997,0.600000024,0.105999999,0.109999999,0.333999991,0.261999995,1
90.txt,0.467000008,0.26699999,0.092,0.370999992,0.162,0.068999998,0.379000008,0.246999994,1
91.txt,0.38499999,0.153999999,0.083999999,0.493999988,0.141000003,0.115999997,0.379000008,0.263000011,1
92.txt,0.316000015,0.104999997,0.085000001,0.421000004,0.144999996,0.088,0.405000001,0.261999995,1
93.txt,0.632000029,0.0,0.078000002,0.586000025,0.082999997,0.092,0.657999992,0.287999988,1
94.txt,0.75,0.125,0.145999998,0.777999997,0.222000003,0.165000007,0.437999994,0.246000007,1
95.txt,0.856999993,0.356999993,0.136000007,0.736999989,0.263000011,0.149000004,0.425999999,0.284999996,1
96.txt,0.526000023,0.052999999,0.079000004,0.433999985,0.055,0.083999999,0.442999989,0.240999997,1
97.txt,0.713999987,0.143000007,0.071999997,0.578999996,0.252999991,0.112000003,0.515999973,0.308999985,1
98.txt,0.333000004,0.082999997,0.090999998,0.453000009,0.079999998,0.098999999,0.163000003,0.240999997,1
99.txt,0.400000006,0.067000002,0.078000002,0.532999992,0.094999999,0.086000003,0.488999993,0.229000002,1
1.txt,0.545000017,0.090999998,0.143000007,0.61500001,0.246000007,0.197999999,0.601000011,0.32100001,2
10.txt,0.462000012,0.231000006,0.128000006,0.352999985,0.118000001,0.136000007,0.231999993,0.252000004,2
100.txt,0.647000015,0.175999999,0.098999999,0.536000013,0.159999996,0.104000002,0.620000005,0.247999996,2
11.txt,0.61500001,0.077,0.157000005,0.600000024,0.071000002,0.115999997,0.393999994,0.26699999,2
12.txt,0.363999993,0.0,0.064999998,0.368999988,0.046,0.027000001,0.287999988,0.180000007,2
13.txt,0.635999978,0.181999996,0.135000005,0.630999982,0.108000003,0.111000001,0.352999985,0.231999993,2
14.txt,0.5,0.071000002,0.151999995,0.400000006,0.052999999,0.111000001,0.455000013,0.243000001,2
15.txt,0.462000012,0.077,0.133000001,0.481999993,0.082000002,0.150000006,0.579999983,0.296999991,2
16.txt,0.375,0.0,0.090000004,0.442999989,0.061000001,0.057999998,0.52700001,0.263999999,2
17.txt,0.726999998,0.181999996,0.103,0.537999988,0.092,0.097999997,0.321999997,0.202999994,2
18.txt,0.400000006,0.067000002,0.109999999,0.381000012,0.123999998,0.125,0.561999977,0.294,2
19.txt,0.768999994,0.153999999,0.127000004,0.764999986,0.165000007,0.089000002,0.39199999,0.246999994,2
2.txt,0.75,0.082999997,0.07,0.680000007,0.107000001,0.089000002,0.460000008,0.252000004,2
20.txt,0.600000024,0.26699999,0.147,0.513999999,0.104999997,0.107000001,0.391000003,0.273999989,2
21.txt,0.467000008,0.067000002,0.074000001,0.437999994,0.028999999,0.068000004,0.495000005,0.213,2
22.txt,0.635999978,0.0,0.092,0.646000028,0.137999997,0.085000001,0.437000006,0.25,2
23.txt,0.768999994,0.153999999,0.169,0.717999995,0.046999998,0.141000003,0.307000011,0.273000002,2
24.txt,0.455000013,0.0,0.118000001,0.430999994,0.061999999,0.116999999,0.444999993,0.231000006,2
25.txt,0.635999978,0.273000002,0.165000007,0.492000014,0.108000003,0.129999995,0.453000009,0.256000012,2
26.txt,0.699999988,0.200000003,0.152999997,0.672999978,0.108999997,0.082000002,0.298999995,0.216000006,2
27.txt,0.356999993,0.143000007,0.097000003,0.388999999,0.052999999,0.108999997,0.261999995,0.261000007,2
28.txt,0.545000017,0.181999996,0.137999997,0.646000028,0.153999999,0.133000001,0.360000014,0.250999987,2
29.txt,0.583000004,0.166999996,0.114,0.347000003,0.079999998,0.089000002,0.270000011,0.232999995,2
3.txt,0.666999996,0.166999996,0.115999997,0.73299998,0.107000001,0.125,0.361000001,0.252999991,2
30.txt,0.375,0.0,0.039000001,0.305999994,0.082999997,0.104999997,0.107000001,0.203999996,2
31.txt,1.0,0.42899999,0.237000003,1.0,0.5,0.219999999,0.593999982,0.294999987,2
32.txt,0.42899999,0.0,0.078000002,0.5,0.071000002,0.108000003,0.226999998,0.224999994,2
33.txt,0.833000004,0.333000004,0.145999998,0.852999985,0.159999996,0.104999997,0.535000026,0.259000003,2
34.txt,0.833000004,0.25,0.101000004,0.839999974,0.226999998,0.103,0.606999993,0.291999996,2
35.txt,0.818000019,0.090999998,0.148000002,0.55400002,0.046,0.079999998,0.476000011,0.233999997,2
36.txt,0.691999972,0.0,0.075000003,0.575999975,0.071000002,0.083999999,0.456,0.244000003,2
37.txt,0.726999998,0.090999998,0.172999993,0.72299999,0.185000002,0.159999996,0.382999986,0.289999992,2
38.txt,0.333000004,0.082999997,0.097999997,0.519999981,0.052999999,0.108000003,0.291000009,0.224000007,2
39.txt,0.545000017,0.0,0.093999997,0.462000012,0.092,0.119999997,0.356999993,0.234999999,2
4.txt,0.444000006,0.111000001,0.119999997,0.400000006,0.067000002,0.074000001,0.259000003,0.200000003,2
40.txt,0.200000003,0.0,0.122000001,0.363999993,0.181999996,0.142000005,0.31099999,0.244000003,2
41.txt,0.449999988,0.100000001,0.119999997,0.393999994,0.109999999,0.120999999,0.367000014,0.275999993,2
42.txt,0.187999994,0.187999994,0.170000002,0.34799999,0.104000002,0.105999999,0.518000007,0.268999994,2
43.txt,0.234999999,0.0,0.056000002,0.312000006,0.079999998,0.07,0.388999999,0.25,2
44.txt,0.75,0.166999996,0.145999998,0.626999974,0.067000002,0.096000001,0.317000002,0.237000003,2
45.txt,0.312999994,0.063000001,0.097000003,0.356999993,0.086999997,0.081,0.628000021,0.303000003,2
46.txt,0.888999999,0.222000003,0.199000001,0.843999982,0.089000002,0.134000003,0.601000011,0.294,2
47.txt,0.25,0.0,0.064999998,0.277999997,0.035,0.071999997,0.254999995,0.219999999,2
48.txt,0.333000004,0.067000002,0.085000001,0.342999995,0.048,0.075000003,0.294999987,0.218999997,2
49.txt,0.5,0.125,0.129999995,0.477999985,0.061000001,0.101000004,0.486000001,0.246999994,2
5.txt,0.400000006,0.100000001,0.115999997,0.254999995,0.072999999,0.123000003,0.293000013,0.231999993,2
50.txt,0.528999984,0.118000001,0.094999999,0.488000005,0.112000003,0.081,0.582000017,0.256000012,2
51.txt,0.455000013,0.273000002,0.098999999,0.400000006,0.077,0.07,0.26699999,0.197999999,2
52.txt,0.625,0.125,0.128000006,0.638999999,0.138999999,0.100000001,0.377999991,0.243000001,2
53.txt,0.333000004,0.111000001,0.138999999,0.377999991,0.022,0.093999997,0.222000003,0.191,2
54.txt,0.75,0.166999996,0.096000001,0.587000012,0.093000002,0.101999998,0.474000007,0.240999997,2
55.txt,0.57099998,0.0,0.137999997,0.526000023,0.032000002,0.126000002,0.405000001,0.296999991,2
56.txt,0.5,0.25,0.093999997,0.479999989,0.147,0.093999997,0.414000005,0.241999999,2
57.txt,0.61500001,0.307999998,0.082999997,0.375999987,0.200000003,0.078000002,0.345999986,0.246999994,2
58.txt,0.635999978,0.090999998,0.125,0.537999988,0.046,0.119000003,0.419,0.264999986,2
59.txt,0.416999996,0.333000004,0.182999998,0.573000014,0.147,0.151999995,0.209999993,0.261000007,2
6.txt,0.300000012,0.200000003,0.088,0.254999995,0.055,0.064000003,0.377999991,0.209000006,2
60.txt,0.5,0.0,0.056000002,0.444000006,0.166999996,0.125,0.171000004,0.203999996,2
61.txt,0.588,0.352999985,0.136000007,0.400000006,0.184,0.131999999,0.552999973,0.289000005,2
62.txt,0.75,0.333000004,0.126000002,0.453000009,0.172999993,0.100000001,0.529999971,0.272000015,2
63.txt,0.666999996,0.166999996,0.142000005,0.626999974,0.147,0.150000006,0.319000006,0.282000005,2
64.txt,0.444000006,0.111000001,0.126000002,0.488999993,0.067000002,0.111000001,0.344999999,0.246999994,2
65.txt,0.333000004,0.067000002,0.072999999,0.381000012,0.048,0.068999998,0.361999989,0.206,2
66.txt,0.713999987,0.42899999,0.127000004,0.786000013,0.393000007,0.172999993,0.270000011,0.229000002,2
67.txt,0.777999997,0.222000003,0.178000003,0.73299998,0.156000003,0.156000003,0.296000004,0.246000007,2
68.txt,0.537999988,0.077,0.108999997,0.564999998,0.082000002,0.093999997,0.361999989,0.250999987,2
69.txt,1.0,0.25,0.138999999,1.0,0.25,0.178000003,0.416999996,0.252999991,2
7.txt,0.666999996,0.111000001,0.090999998,0.600000024,0.044,0.085000001,0.425000012,0.202999994,2
70.txt,0.899999976,0.200000003,0.151999995,0.926999986,0.108999997,0.167999998,0.340000004,0.248999998,2
71.txt,0.938000023,0.187999994,0.185000002,0.748000026,0.061000001,0.148000002,0.526000023,0.284000009,2
72.txt,0.356999993,0.0,0.024,0.326000005,0.041999999,0.061000001,0.280999988,0.231000006,2
73.txt,0.526000023,0.210999995,0.112000003,0.428000003,0.061999999,0.066,0.470999986,0.252000004,2
74.txt,0.470999986,0.0,0.088,0.512000024,0.071999997,0.104000002,0.386000007,0.272000015,2
75.txt,0.352999985,0.059,0.125,0.184,0.032000002,0.057,0.479999989,0.230000004,2
76.txt,0.833000004,0.25,0.158999994,0.852999985,0.172999993,0.138999999,0.270999998,0.246999994,2
77.txt,0.726999998,0.0,0.075999998,0.768999994,0.077,0.105999999,0.414000005,0.252999991,2
78.txt,0.713999987,0.286000013,0.150000006,0.536000013,0.286000013,0.138999999,0.300000012,0.228,2
79.txt,0.635999978,0.273000002,0.138999999,0.61500001,0.153999999,0.107000001,0.486000001,0.259000003,2
8.txt,0.75,0.0,0.142000005,0.652999997,0.119999997,0.123999998,0.550999999,0.282999992,2
80.txt,0.600000024,0.100000001,0.130999997,0.672999978,0.217999995,0.126000002,0.430000007,0.219999999,2
81.txt,0.421000004,0.0,0.067000002,0.448000014,0.068999998,0.055,0.377999991,0.248999998,2
82.txt,0.635999978,0.090999998,0.090999998,0.569000006,0.137999997,0.109999999,0.456,0.259000003,2
83.txt,0.578999996,0.0,0.120999999,0.428000003,0.075999998,0.092,0.412999988,0.26699999,2
84.txt,0.726999998,0.090999998,0.071999997,0.630999982,0.108000003,0.061999999,0.400000006,0.206,2
85.txt,0.5,0.082999997,0.101000004,0.693000019,0.133000001,0.140000001,0.337000012,0.264999986,2
86.txt,0.555999994,0.0,0.067000002,0.73299998,0.133000001,0.126000002,0.404000014,0.238999993,2
87.txt,0.537999988,0.153999999,0.112000003,0.541000009,0.200000003,0.151999995,0.507000029,0.263000011,2
88.txt,0.5,0.071000002,0.089000002,0.347000003,0.063000001,0.064999998,0.381999999,0.215000004,2
89.txt,0.375,0.063000001,0.068000004,0.321999997,0.086999997,0.089000002,0.483999997,0.228,2
9.txt,0.777999997,0.222000003,0.136000007,0.800000012,0.178000003,0.129999995,0.456999987,0.238000005,2
90.txt,0.375,0.0,0.061000001,0.330000013,0.122000001,0.086000003,0.531000018,0.231999993,2
91.txt,0.666999996,0.0,0.153999999,0.68900001,0.156000003,0.174999997,0.469999999,0.270000011,2
92.txt,0.455000013,0.363999993,0.133000001,0.414999992,0.261999995,0.125,0.558000028,0.273999989,2
93.txt,0.713999987,0.071000002,0.089000002,0.778999984,0.167999998,0.119999997,0.423999995,0.270999998,2
94.txt,0.532999992,0.133000001,0.103,0.495000005,0.171000004,0.104000002,0.400999993,0.26699999,2
95.txt,0.666999996,0.333000004,0.142000005,0.587000012,0.226999998,0.144999996,0.541999996,0.268999994,2
96.txt,0.588,0.175999999,0.120999999,0.527999997,0.175999999,0.093000002,0.529999971,0.282999992,2
97.txt,0.713999987,0.143000007,0.115000002,0.726000011,0.115999997,0.123000003,0.528999984,0.246000007,2
98.txt,0.888999999,0.333000004,0.199000001,0.911000013,0.333000004,0.206,0.40200001,0.261999995,2
99.txt,0.600000024,0.400000006,0.204999998,0.52700001,0.273000002,0.187000006,0.488000005,0.263999999,2
1.txt,0.888999999,0.111000001,0.090999998,0.911000013,0.222000003,0.145999998,0.56099999,0.261000007,3
10.txt,0.412,0.0,0.061000001,0.407999992,0.088,0.086000003,0.338999987,0.250999987,3
100.txt,0.412,0.118000001,0.085000001,0.432000011,0.056000002,0.07,0.372999996,0.214000002,3
11.txt,0.666999996,0.25,0.093000002,0.666999996,0.213,0.119999997,0.36500001,0.244000003,3
12.txt,0.726999998,0.273000002,0.199000001,0.754000008,0.246000007,0.173999995,0.5,0.308999985,3
13.txt,0.352999985,0.118000001,0.127000004,0.488000005,0.104000002,0.115999997,0.52700001,0.296000004,3
14.txt,0.643000007,0.0,0.071999997,0.64200002,0.021,0.071999997,0.505999982,0.246000007,3
15.txt,1.0,0.090999998,0.135000005,0.922999978,0.137999997,0.162,0.388000011,0.275000006,3
16.txt,0.545000017,0.181999996,0.093000002,0.768999994,0.137999997,0.108999997,0.337000012,0.25,3
17.txt,0.699999988,0.200000003,0.158999994,0.818000019,0.217999995,0.153999999,0.495999992,0.268999994,3
18.txt,0.5,0.400000006,0.142000005,0.600000024,0.381999999,0.157000005,0.597000003,0.277999997,3
19.txt,0.800000012,0.200000003,0.187999994,0.690999985,0.108999997,0.192000002,0.398999989,0.273000002,3
2.txt,0.666999996,0.416999996,0.202000007,0.773000002,0.280000001,0.134000003,0.541000009,0.293000013,3
20.txt,0.916999996,0.583000004,0.294,0.813000023,0.360000014,0.225999996,0.677999973,0.338,3
