文本编号,因果衔接-SMCAUSr-64,意图衔接-SMINTEr-65,时体衔接-SMTEMP-68,年级
87.txt,0.0,0.0,0.813000023,3
88.txt,0.333000004,0.5,0.866999984,3
89.txt,0.181999996,0.856999993,0.856999993,3
9.txt,0.166999996,0.375,0.808000028,3
90.txt,0.222000003,1.667000055,0.777999997,3
91.txt,0.200000003,0.833000004,0.75,3
92.txt,0.0,0.200000003,0.949999988,3
93.txt,0.200000003,0.231000006,0.92900002,3
94.txt,0.400000006,0.222000003,0.666999996,3
95.txt,0.363999993,0.375,0.922999978,3
96.txt,0.125,0.166999996,0.875,3
97.txt,0.125,1.5,0.681999981,3
98.txt,0.111000001,0.400000006,0.846000016,3
99.txt,0.0,0.5,0.800000012,3
