文本编号,单词数量-DESWC-03,句子数量-DESSC-02,年级,多样性-LDVOCDa（51）,密度-WRDFRQC（94）,复杂度-K1,复杂度-K2,复杂度-K3,复杂度-K4,复杂度-K5,复杂度-K6+,短语长度-SYNLE（69）,短语长度-SYNNP（70）,短语密度-DRNP（76）,短语密度-DRVP（77）,短语密度-DRPP（79）,句子长度-DESSL（06）,句子结构-DRPVAL（80）,句子结构-DRNEG（81）,句子结构-DRINF（83）,句法相似-SYNSTRUTa（74）,句法相似-SYNSTRUTt（75）,局部连贯-CRFAO1（29）,局部连贯-CRFSO1（30）,局部连贯-LSASS1(40),整体连贯-CRFAOa（32）,整体连贯-CRFSOa（33）,整体连贯-LSASSp（42）,整体连贯-LSAPP1（44）,整体连贯-LSAGN（46）,因果衔接-SMCAUSr-64,意图衔接-SMINTEr-65,时体衔接-SMTEMP-68,段落平均长度-DESPL-04,段落平均长度标准差-DESPLd-05
20.txt,201,15,1,135.5780029,2.121999979,88.177,3.941,2.463,1.97,1.478,1.478,5.333000183,0.643000007,313.4330139,263.6820068,74.6269989,13.60000038,4.974999905,14.92500019,14.92500019,0.112999998,0.123000003,0.286000013,0.071000002,0.090999998,0.326000005,0.094999999,0.093999997,0.300000012,0.26699999,0.5,0.363999993,0.92900002,7.5,2.121000051
20.txt,217,16,2,98.96499634,2.167999983,84.932,6.393,3.653,3.196,1.37,0.457,4.563000202,0.651000023,322.5809937,225.8059998,115.2070007,13.56299973,0.0,4.607999802,4.607999802,0.127000004,0.114,0.600000024,0.26699999,0.147,0.513999999,0.104999997,0.107000001,0.391000003,0.273999989,0.100000001,0.125,0.899999976,8.0,1.414000034
20.txt,213,13,3,62.24000168,2.226000071,86.916,6.542,4.206,1.402,0.935,0.0,4.538000107,0.698000014,352.1130066,215.9620056,136.1499939,16.46199989,0.0,4.695000172,28.16900063,0.100000001,0.094999999,0.916999996,0.583000004,0.294,0.813000023,0.360000014,0.225999996,0.677999973,0.338,0.375,0.333000004,0.833000004,6.5,0.707000017
21.txt,237,15,1,80.31999969,2.444000006,89.451,5.063,2.954,0.844,1.266,0.422,4.0,0.708000004,337.553009,248.9450073,109.7050018,15.80000019,8.43900013,8.43900013,33.75500107,0.118000001,0.138999999,0.57099998,0.214000002,0.072999999,0.504999995,0.179000005,0.071999997,0.370999992,0.254000008,0.125,0.363999993,0.92900002,7.5,0.707000017
21.txt,173,16,2,81.03500366,2.194999933,84.971,5.202,4.046,1.734,1.156,1.734,2.75,0.712000012,352.6010132,277.4570007,57.8030014,11.0,5.78000021,0.0,34.68199921,0.119000003,0.123999998,0.467000008,0.067000002,0.074000001,0.437999994,0.028999999,0.068000004,0.495000005,0.213,0.200000003,0.286000013,0.833000004,8.0,2.828000069
21.txt,250,14,3,76.62000275,2.049000025,84.0,8.0,4.0,2.4,1.6,0.0,4.071000099,0.810000002,336.0,212.0,108.0,17.85700035,4.0,0.0,16.0,0.078000002,0.094999999,0.61500001,0.231000006,0.093999997,0.564999998,0.317999989,0.141000003,0.579999983,0.277999997,0.125,3.0,0.846000016,7.0,1.414000034
22.txt,229,18,1,110.8669968,2.348999977,90.948,6.034,0.431,1.293,0.862,0.0,2.667000055,0.537999988,314.4100037,257.6419983,74.23600006,12.72200012,0.0,17.46699905,21.83399963,0.100000001,0.119000003,0.528999984,0.118000001,0.101000004,0.551999986,0.143999994,0.103,0.439999998,0.268999994,0.5,0.726999998,0.79400003,9.0,2.828000069
22.txt,165,12,2,80.32099915,2.219000101,83.133,10.241,3.614,2.41,0.602,0.0,2.75,0.660000026,351.5150146,218.1820068,121.211998,13.75,0.0,0.0,18.18199921,0.138999999,0.120999999,0.635999978,0.0,0.092,0.646000028,0.137999997,0.085000001,0.437000006,0.25,0.082999997,0.200000003,0.908999979,6.0,1.414000034
22.txt,172,10,3,81.45800018,2.197999954,86.55,8.187,3.509,0.585,1.17,0.0,5.0,0.851000011,343.0230103,232.5579987,104.651001,17.29999924,0.0,17.44199944,23.25600052,0.083999999,0.085000001,0.444000006,0.111000001,0.129999995,0.666999996,0.178000003,0.131999999,0.51700002,0.252999991,0.5,0.666999996,0.833000004,5.0,0.0
23.txt,191,16,1,125.4280014,2.415999889,88.144,6.186,3.093,1.546,0.515,0.515,1.937999964,0.518000007,335.07901,246.072998,94.24099731,11.93799973,5.236000061,5.236000061,15.70699978,0.093000002,0.112999998,0.600000024,0.0,0.064999998,0.389999986,0.086000003,0.041000001,0.233999997,0.225999996,0.625,0.5,0.933000028,8.0,0.0
23.txt,175,14,2,89.27400208,2.313999891,85.795,7.386,3.409,1.705,1.705,0.0,3.642999887,0.592999995,377.1430054,245.7140045,97.14299774,12.5,0.0,17.14299965,0.0,0.138999999,0.130999997,0.768999994,0.153999999,0.169,0.717999995,0.046999998,0.141000003,0.307000011,0.273000002,0.111000001,0.111000001,0.808000028,7.0,5.657000065
23.txt,233,14,3,108.8320007,2.315000057,85.281,6.926,3.896,1.732,0.866,0.0,3.642999887,0.657000005,364.8070068,236.052002,81.54499817,16.7859993,8.583999634,8.583999634,12.8760004,0.104999997,0.103,0.38499999,0.231000006,0.142000005,0.423999995,0.118000001,0.093999997,0.546999991,0.256999999,0.0,0.666999996,0.768999994,7.0,0.0
24.txt,244,20,1,75.04000092,2.415999889,88.571,6.939,2.449,1.224,0.408,0.408,3.599999905,0.573000014,344.2619934,266.3930054,73.77100372,12.19999981,0.0,8.19699955,32.78699875,0.123000003,0.129999995,0.632000029,0.158000007,0.166999996,0.497000009,0.097000003,0.119999997,0.536000013,0.277999997,0.181999996,0.0,0.894999981,10.0,1.414000034
24.txt,194,12,2,110.7229996,1.973999977,77.32,9.794,4.124,3.093,3.608,2.061,3.5,0.800000012,335.052002,237.1130066,87.6289978,16.16699982,5.15500021,5.15500021,15.46399975,0.126000002,0.097999997,0.455000013,0.0,0.118000001,0.430999994,0.061999999,0.116999999,0.444999993,0.231000006,0.111000001,0.375,0.773000002,6.0,1.414000034
24.txt,185,15,3,76.01200104,2.111999989,86.096,5.882,6.952,0.535,0.535,0.0,5.333000183,0.802999973,389.1889954,205.4049988,113.5139999,12.33300018,5.40500021,5.40500021,5.40500021,0.150000006,0.143000007,0.643000007,0.214000002,0.141000003,0.64200002,0.241999999,0.157000005,0.632000029,0.294999987,0.25,0.273000002,1.0,7.5,2.121000051
25.txt,160,13,1,71.77400208,2.278000116,88.344,4.908,1.84,1.84,1.84,0.613,3.38499999,0.569000006,350.0,212.5,118.75,12.38500023,0.0,6.25,18.75,0.163000003,0.143999994,0.5,0.082999997,0.116999999,0.600000024,0.093000002,0.128000006,0.42899999,0.243000001,0.143000007,0.0,0.833000004,6.5,2.121000051
25.txt,176,12,2,87.00900269,2.269000053,89.205,5.682,3.409,0.568,0.568,0.0,3.917000055,0.490999997,357.9549866,289.7730103,102.2730026,14.66699982,0.0,0.0,39.77299881,0.138999999,0.119000003,0.635999978,0.273000002,0.165000007,0.492000014,0.108000003,0.129999995,0.453000009,0.256000012,0.25,0.375,0.726999998,6.0,1.414000034
25.txt,180,11,3,66.95500183,2.125999928,85.792,6.557,3.825,1.093,2.186,0.0,4.727000237,0.800000012,355.5559998,233.3329926,94.44400024,16.54500008,0.0,11.11100006,22.22200012,0.126000002,0.133000001,0.899999976,0.100000001,0.158000007,0.890999973,0.164000005,0.135000005,0.449000001,0.25,0.0,0.0,0.699999988,5.5,0.707000017
26.txt,237,13,1,71.76899719,2.430000067,87.448,8.368,1.674,0.837,0.837,0.836,5.538000107,0.718999982,350.2109985,261.6029968,92.82700348,18.2310009,0.0,0.0,37.97499847,0.122000001,0.112999998,0.75,0.416999996,0.189999998,0.827000022,0.400000006,0.185000002,0.547999978,0.319000006,0.42899999,0.400000006,0.875,6.5,0.707000017
26.txt,180,11,2,87.15599823,2.161999941,83.333,5.556,6.111,2.222,1.111,1.112,5.454999924,0.882000029,333.3330078,222.2220001,127.7779999,16.36400032,5.556000233,5.556000233,16.66699982,0.119000003,0.111000001,0.699999988,0.200000003,0.152999997,0.672999978,0.108999997,0.082000002,0.298999995,0.216000006,0.600000024,0.75,0.899999976,5.5,3.536000013
26.txt,215,15,3,92.30999756,2.299000025,85.78,5.963,4.128,2.294,0.917,0.0,3.599999905,0.676999986,344.1860046,218.6049957,83.72100067,14.53299999,0.0,18.60499954,4.651000023,0.112999998,0.123999998,0.643000007,0.071000002,0.115000002,0.716000021,0.126000002,0.151999995,0.351000011,0.287999988,0.666999996,0.400000006,0.856999993,7.5,0.707000017
